,city,lat,long,max temp,humidity,cloudiness,wind speed,country,date
323,Bojnourd,37.4747,57.329,32.0,94,90,6.93,IR,1609884716
324,Balsas,-7.5325,-46.0356,81.79,60,86,3.65,BR,1609884509
325,Xai-Xai,-25.0519,33.6442,77.58,81,100,3.62,MZ,1609884716
326,Patan,27.6667,85.3333,48.2,93,75,2.24,NP,1609884717
327,Brownsville,25.9018,-97.4975,82.4,39,1,17.22,US,1609884422
328,Marsá Maţrūḩ,31.3525,27.2453,62.6,77,75,8.05,EG,1609884717
329,Ambilobe,-13.2,49.05,74.44,89,72,2.01,MG,1609884717
330,Devils Lake,48.1128,-98.8651,28.99,86,1,8.05,US,1609884717
331,Klerksdorp,-26.8521,26.6667,65.37,87,100,5.7,ZA,1609884717
332,Krasnyy Kut,50.95,46.9667,12.02,93,49,9.28,RU,1609884717
333,Kokoda,-8.8785,147.7407,81.52,63,97,0.78,PG,1609884717
334,Alofi,-19.0595,-169.9187,75.2,94,90,4.7,NU,1609884717
335,Buala,-8.145,159.5921,84.61,66,100,6.73,SB,1609884717
336,Santiago del Estero,-27.7951,-64.2615,86.58,43,99,5.17,AR,1609884625
337,Simpang Empat,4.95,100.6333,77.0,88,40,10.29,MY,1609884717
338,Bacolod City,10.6667,122.95,76.8,82,93,10.65,PH,1609884669
339,Dakoro,14.5106,6.765,77.94,15,0,9.86,NE,1609884717
340,Kamphaeng Phet,16.25,99.5,72.59,65,7,3.67,TH,1609884717
341,Epe,6.5841,3.9834,79.86,85,0,6.78,NG,1609884718
342,Haapiti,-17.5667,-149.8667,84.2,66,75,3.36,PF,1609884718
343,Tuatapere,-46.1333,167.6833,63.34,68,94,3.02,NZ,1609884718
344,Lorengau,-2.0226,147.2712,84.96,73,77,9.13,PG,1609884718
345,Broome,42.2506,-75.833,34.0,92,90,4.7,US,1609884718
346,Sabang,5.8933,95.3214,81.95,79,86,19.6,ID,1609884718
347,Kangaatsiaq,68.3065,-53.4641,11.32,92,100,12.88,GL,1609884718
348,Diego de Almagro,-26.3667,-70.05,75.63,29,0,10.98,CL,1609884718
349,Dumai,1.6833,101.45,74.43,95,64,1.07,ID,1609884718
350,Kashgar,39.4547,75.9797,14.0,85,90,0.63,CN,1609884718
351,Dudinka,69.4058,86.1778,-11.2,76,90,22.37,RU,1609884718
352,Puerto Escondido,15.85,-97.0667,78.8,74,40,3.36,MX,1609884718
353,Honningsvåg,70.9821,25.9704,35.6,86,40,23.04,NO,1609884719
354,Usinsk,65.9939,57.5281,-0.45,93,97,8.77,RU,1609884719
355,Greymouth,-42.4667,171.2,64.92,89,100,6.13,NZ,1609884707
356,Pacifica,37.6138,-122.4869,55.99,81,40,3.36,US,1609884719
